#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
261841	280906	281119	158296	158481	-	BOS_7601	RB1	DNMT1	-	DNMT	Affinity Capture-Western	physical	Robertson KD (2000)	10888886	9913	9913	Low Throughput	-	-	-	-	-	BioGRID
263029	513895	60	170522	106575	BOS_18691	-	PFN1	ACTB	-	PS1TP5BP1	Co-crystal Structure	physical	Nodelman IM (1999)	10600384	9913	9606	Low Throughput	-	-	-	-	-	BioGRID
271837	280691	819210	158101	4545	-	At2g46020	H4	BRM	-	ARABIDOPSIS THALIANA BRAHMA|T3F17.33|CHA2|CHROMATIN REMODELING 2|ATBRM|BRAHMA|CHR2	Far Western	physical	Farrona S (2007)	17825834	9913	3702	Low Throughput	-	-	-	-	-	BioGRID
271838	326601	819210	160074	4545	BOS_15646	At2g46020	H3F3A	BRM	-	ARABIDOPSIS THALIANA BRAHMA|T3F17.33|CHA2|CHROMATIN REMODELING 2|ATBRM|BRAHMA|CHR2	Far Western	physical	Farrona S (2007)	17825834	9913	3702	Low Throughput	-	-	-	-	-	BioGRID
274906	344	280843	106841	158237	-	-	APOC2	LPL	APOC-II|APO-CII	-	Reconstituted Complex	physical	MacPhee CE (2000)	10727238	9606	9913	Low Throughput	-	-	-	-	-	BioGRID
275483	281105	4082	158468	110257	BOS_8588	-	CTSB	MARCKS	-	PKCSL|MACS|PRKCSL|80K-L	Biochemical Activity	physical	Spizz G (1997)	9295331	9913	9606	Low Throughput	-	Proteolytic Processing	-	-	-	BioGRID
275683	282307	442985	159569	140028	BOS_19690	-	PIK3R1	PDGFRB	-	PDGFR-1	Reconstituted Complex	physical	McGlade CJ (1992)	1372092	9913	9615	Low Throughput	-	-	-	-	-	BioGRID
276152	9368	287026	114769	160009	-	BOS_12749	SLC9A3R1	PLCB1	NHERF1|NPHLOP2|NHERF|EBP50	-	Reconstituted Complex	physical	Tang Y (2000)	10980202	9606	9913	Low Throughput	-	-	-	-	-	BioGRID
279403	81672	281165	249569	158525	-	BOS_25483	Grm7	FLNA	-	-	Two-hybrid	physical	Enz R (2002)	11943148	10116	9913	Low Throughput	-	-	-	-	-	BioGRID
279404	24418	281165	246583	158525	-	BOS_25483	Grm5	FLNA	mGluR5	-	Two-hybrid	physical	Enz R (2002)	11943148	10116	9913	Low Throughput	-	-	-	-	-	BioGRID
279405	60590	281165	248875	158525	-	BOS_25483	Grm8	FLNA	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	-	Two-hybrid	physical	Enz R (2002)	11943148	10116	9913	Low Throughput	-	-	-	-	-	BioGRID
281357	508566	508566	165204	165204	BOS_22058	BOS_22058	NQO2	NQO2	-	-	Co-purification	physical	Zhao Q (1997)	9050836	9913	9913	Low Throughput	-	-	-	-	-	BioGRID
288202	4036	280717	110216	158123	-	BOS_6773	LRP2	ALB	DBS|gp330	-	Reconstituted Complex	physical	Cui S (1996)	8898021	9606	9913	Low Throughput	-	-	-	-	-	BioGRID
301209	281040	4842	158412	110905	BOS_4208	-	CAV1	NOS1	-	N-NOS|NOS|IHPS1|NC-NOS|bNOS|nNOS	Reconstituted Complex	physical	Venema VJ (1997)	9353265	9913	9606	Low Throughput	-	-	-	-	-	BioGRID
302115	282173	80279	159447	123213	BOS_18467	MSTP016	CDK5R1	CDK5RAP3	P25/P35	HSF-27|MST016|C53|OK/SW-cl.114|IC53|LZAP	Two-hybrid	physical	Ching YP (2000)	10721722	9913	9606	Low Throughput	-	-	-	-	-	BioGRID
